"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"dichromat","dichromat","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0-0.1",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"diffobj","diffobj","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"digest","digest","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6.37",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"doBy","doBy","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.6.22",NA,"R (>= 4.2.0), methods","boot, broom, cowplot, Deriv, dplyr, ggplot2, MASS, Matrix,
modelr, microbenchmark, rlang, tibble, tidyr,",NA,"geepack, knitr, lme4, markdown, multcomp, pbkrtest (>=
0.4-8.1), survival, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"doParallel","doParallel","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.3.1"
"doSNOW","doSNOW","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.20",NA,"R (>= 2.5.0), foreach(>= 1.2.0), iterators(>= 1.0.0), snow(>=
0.3.0), utils",NA,NA,"compiler, RUnit, caret, mlbench, rpart, parallel",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"dotCall64","dotCall64","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1-1",NA,"R (>= 3.1)",NA,NA,"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"downlit","downlit","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.4",NA,"R (>= 4.0.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"dplyr","dplyr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.2",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.0)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"drc","drc","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.0-1",NA,"R (>= 2.0.0), MASS, stats","car, gtools, multcomp, plotrix, scales",NA,NA,NA,"GPL-2 | file LICENCE",NA,NA,NA,NA,"no","4.3.1"
"dslabs","dslabs","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8.0",NA,"R (>= 3.5.0)","ggplot2",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.3"
"DT","DT","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.33",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), httpuv, jsonlite
(>= 0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"dtplyr","dtplyr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.1",NA,"R (>= 3.3)","cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"e1071","e1071","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.7-14",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"effectsize","effectsize","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8.9",NA,"R (>= 3.6)","bayestestR (>= 0.13.2), insight (>= 0.20.1), parameters (>=
0.22.0), performance (>= 0.12.0), datawizard (>= 0.11.0),
stats, utils",NA,"correlation (>= 0.8.4), see (>= 0.8.0), afex, BayesFactor,
boot, brms, car, emmeans, gt, knitr, lavaan, lme4, lmerTest,
mgcv, parsnip, pwr, rmarkdown, rms, rstanarm, rstantools,
testthat (>= 3.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"egg","egg","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.5",NA,"gridExtra (>= 2.3), ggplot2","gtable, grid, grDevices, utils",NA,"knitr, png",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"ellipsis","ellipsis","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"elliptic","elliptic","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4-0",NA,"R (>= 2.5.0)","MASS",NA,"emulator, calibrator (>= 1.2-8)",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.2"
"emmeans","emmeans","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.10.4",NA,"R (>= 4.1.0)","estimability (>= 1.4.1), graphics, methods, numDeriv, stats,
utils, mvtnorm",NA,"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
compositions, ggplot2, lattice, logspline, mediation, mgcv,
multcomp, multcompView, nlme, ordinal (>= 2014.11-12), pbkrtest
(>= 0.4-1), lme4, lmerTest (>= 2.0.32), MASS, MuMIn, rsm,
knitr, rmarkdown, sandwich, scales, splines, testthat, tibble,
xtable (>= 1.8-2)","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.3"
"EnvStats","EnvStats","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.0.0",NA,"R (>= 3.5.0)","MASS, ggplot2, nortest",NA,"lattice, qcc, sp, boot, tinytest, covr, Hmisc",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.3"
"estimability","estimability","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5.1",NA,"stats, R(>= 4.1.0)",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.3"
"evaluate","evaluate","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.24.0",NA,"R (>= 4.0.0)","methods",NA,"covr, ggplot2, lattice, rlang, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"Exact","Exact","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.3",NA,"R (>= 3.5.0)","graphics, stats, utils, rootSolve",NA,"ExactData",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.3"
"exifr","exifr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.2",NA,NA,"curl, plyr, tibble, jsonlite, utils, rappdirs",NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"expm","expm","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0-0",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"extrafont","extrafont","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.19",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"extrafontdb","extrafontdb","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.3.1"
"fansi","fansi","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.4",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"farver","farver","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.2",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"fasterize","fasterize","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.5",NA,"R (>= 3.3.0)","Rcpp, raster (>= 2.8-3), wk","Rcpp, RcppArmadillo","testthat, microbenchmark, knitr, rmarkdown, sf, spelling,
geos",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"fastmap","fastmap","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"fastmatrix","fastmatrix","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5-772",NA,"R(>= 3.5.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"fasttime","fasttime","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1-0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"fields","fields","C:/Users/bdav_/AppData/Local/R/win-library/4.3","16.2",NA,"R (>= 3.5.0), methods, spam, viridisLite","maps",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"filehash","filehash","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.4-6",NA,"R (>= 3.0.0)","digest, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"fipio","fipio","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.2",NA,"R (>= 3.5.0)",NA,NA,"testthat (>= 3.0.0), mockery (>= 0.4.2), covr, fastmatch (>=
1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"fmesher","fmesher","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.7",NA,"R (>= 4.0), methods","dplyr, graphics, grDevices, lifecycle, Matrix, rlang, sf, sp
(>= 1.6-1), stats, tibble, utils, withr, Rcpp","Rcpp","ggplot2, inlabru (>= 2.8.0), knitr, testthat (>= 3.0.0),
terra, tidyterra, rgl, rmarkdown, splancs, gsl",NA,"MPL-2.0",NA,NA,NA,NA,"yes","4.3.3"
"FNN","FNN","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.4",NA,"R (>= 4.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"fontawesome","fontawesome","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5.2",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"forcats","forcats","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.0",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"foreach","foreach","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.3.1"
"foreign","foreign","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8-87","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"Formula","Formula","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2-5",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.0"
"fs","fs","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6.4",NA,"R (>= 3.6)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"future","future","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.34.0",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.38.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.3"
"future.apply","future.apply","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.11.2",NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"gapminder","gapminder","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.0",NA,"R (>= 3.1.0)","tibble",NA,"dplyr, ggplot2, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"CC0",NA,NA,NA,NA,"no","4.3.2"
"gargle","gargle","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5.2",NA,"R (>= 3.6)","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"GCD","GCD","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.0.7",NA,"R(>= 3.5.0)","raster",NA,"paleofire",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"gdalUtilities","gdalUtilities","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.5",NA,NA,"sf (>= 1.0-11)",NA,"terra, stars, RColorBrewer, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"gdalUtils","gdalUtils","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.3.2",NA,"R (>= 2.14.0)","sp, foreach, R.utils, raster, rgdal",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"gdistance","gdistance","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6.4",NA,"R (>= 3.2.0), raster (>= 1.9-19), methods, igraph (>= 0.7.0),
Matrix","sp, stats, terra",NA,"knitr, markdown, rmarkdown, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"generics","generics","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"geojson","geojson","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.5",NA,NA,"methods, sp, jsonlite (>= 1.6), protolite (>= 1.8), jqr (>=
1.1.0), magrittr, lazyeval",NA,"tibble, testthat, knitr, rmarkdown, sf, stringi, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"geojsonio","geojsonio","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.11.3",NA,"R (>= 3.5)","crul, geojson (>= 0.2.0), geojsonsf, jqr, jsonlite (>=
0.9.21), magrittr, methods, readr (>= 0.2.2), sf (>= 0.6), sp,
V8",NA,"covr, DBI, gistr, leaflet, maps, RPostgres, testthat (>=
3.0.0), withr","RColorBrewer","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"geojsonsf","geojsonsf","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.3",NA,"R (>= 3.3.0)","Rcpp","geometries, jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp,
sfheaders (>= 0.2.2)","covr, jsonify, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"geometries","geometries","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2.4",NA,NA,"Rcpp (>= 1.0.10)","Rcpp","covr, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"geonames","geonames","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.999",NA,"R (>= 2.2.0)","rjson",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"geosphere","geosphere","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5-18",NA,"R (>= 3.0.0)","Rcpp, sp","Rcpp","methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"gert","gert","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.1",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"gganimate","gganimate","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.9",NA,"ggplot2 (>= 3.5.0)","cli, glue, grDevices, grid, lifecycle, progress, rlang,
scales, stringi, transformr (>= 0.1.5), tweenr (>= 2.0.3),
utils, vctrs",NA,"av, base64enc, covr, gifski (>= 1.4.3), htmltools, knitr,
magick, ragg, rmarkdown, sf, svglite, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"ggeffects","ggeffects","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.7.1",NA,"R (>= 3.6)","graphics, insight (>= 0.19.8), stats, utils",NA,"AER, aod, bayestestR, betareg, brglm2, brms, broom, car,
carData, clubSandwich, datawizard (>= 0.9.0), effects (>=
4.2-2), emmeans (>= 1.8.9), fixest, gam, gamlss, gamm4, gee,
geepack, ggplot2, ggrepel, GLMMadaptive, glmmTMB (>= 1.1.7),
gridExtra, gt, haven, htmltools, httr, jsonlite, knitr, lme4
(>= 1.1-35), logistf, marginaleffects (>= 0.19.0), MASS,
Matrix, mice, MCMCglmm, mgcv, nestedLogit (>= 0.3.0), nlme,
nnet, ordinal, parameters, parsnip, patchwork, pscl, quantreg,
rmarkdown, rms, robustbase, rstanarm, rstantools, sandwich,
sdmTMB (>= 0.4.0), see, sjlabelled (>= 1.1.2), sjstats, survey,
survival, testthat, tibble, tinytable (>= 0.1.0), vdiffr,
withr, VGAM",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"ggExtra","ggExtra","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.10.1",NA,"R (>= 3.1.0)","colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"ggforce","ggforce","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.2",NA,"ggplot2 (>= 3.3.6), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils, lifecycle, cli, vctrs, systemfonts","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, latex2exp, reshape2, units
(>= 0.4-6), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"ggfun","ggfun","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.6",NA,"R (>= 4.1.0)","cli, dplyr, ggplot2, grid, rlang, utils, yulab.utils (>=
0.1.6)",NA,"ggplotify, knitr, rmarkdown, prettydoc, tidyr, ggnewscale",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.3"
"ggimage","ggimage","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.3",NA,"R (>= 3.4.0), ggplot2","ggfun, ggplotify, grid, jsonlite, magick, methods, scales,
tibble, tools, utils, withr",NA,"ape, ggtree, gridGraphics, httr, rsvg",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.1"
"ggmap","ggmap","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","png, plyr, jpeg, digest, scales, dplyr, bitops, grid, glue,
httr, stringr, purrr, magrittr, tibble, tidyr, rlang, cli",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.3"
"ggmosaic","ggmosaic","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.3",NA,"ggplot2 (>= 3.3.0), R (>= 3.5.0)","productplots, dplyr, plotly (>= 4.5.5), purrr, rlang, tidyr,
ggrepel, scales",NA,"gridExtra, knitr, NHANES, rmarkdown, patchwork",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"ggplot2","ggplot2","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.5.1",NA,"R (>= 3.5)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.3.0), stats, tibble, vctrs (>= 0.6.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, mapproj,
maps, multcomp, munsell, nlme, profvis, quantreg, ragg (>=
1.2.6), RColorBrewer, rmarkdown, rpart, sf (>= 0.7-3), svglite
(>= 2.1.2), testthat (>= 3.1.2), vdiffr (>= 1.0.6), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"ggplotify","ggplotify","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.2",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.1"
"ggpubr","ggpubr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6.0",NA,"R (>= 3.1.0), ggplot2 (>= 3.4.0)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"ggraph","ggraph","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.2.1",NA,"R (>= 2.10), ggplot2 (>= 3.5.0)","dplyr, ggforce (>= 0.3.1), grid, igraph (>= 1.0.0), scales,
MASS, ggrepel, utils, stats, viridis, rlang, tidygraph,
graphlayouts (>= 1.1.0), withr, cli, vctrs, lifecycle, memoise","cpp11","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr, sf, sfnetworks",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"ggrepel","ggrepel","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9.5",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"ggsci","ggsci","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.2.0",NA,"R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, scales",NA,"gridExtra, knitr, ragg, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.3"
"ggsignif","ggsignif","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"ggspatial","ggspatial","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.9",NA,"R (>= 2.10)","sf, ggplot2 (>= 3.0.0), rosm (>= 0.2), abind, methods, tibble,
scales, tidyr, rlang, grid, glue",NA,"prettymapr, knitr, rmarkdown, sp, raster, terra, testthat (>=
3.0.0), dplyr, withr, ggrepel, stars, covr, vdiffr, lwgeom",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"ggthemes","ggthemes","C:/Users/bdav_/AppData/Local/R/win-library/4.3","5.1.0",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, lifecycle, methods, purrr,
scales, stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, quantreg, rlang, rmarkdown, spelling, testthat
(>= 3.2.0), tidyr, vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.3"
"gh","gh","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.1",NA,"R (>= 3.6)","cli (>= 3.0.1), gitcreds, glue, httr2, ini, jsonlite,
lifecycle, rlang (>= 1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"gifski","gifski","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.12.0-2",NA,NA,NA,NA,"ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"gitcreds","gitcreds","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
